symbol,name,fetch_timestamp,price,open,high,low,prev_close,price_change,price_change_pct,volume,quote_volume,trades_count,weighted_avg,price_range,volatility_pct,trade_intensity,vwap_deviation,volatility_label,market_signal
DOGEUSDT,Dogecoin,2026-03-15T17:10:06.506751,0.09619,0.0951,0.09746,0.09436,0.0951,0.00109,1.146,606462499.0,58085596.68,396970,0.095778,0.0031,3.2597,146.3224,0.4302,High,Buy
ADAUSDT,Cardano,2026-03-15T17:10:06.506751,0.2653,0.2607,0.2673,0.2585,0.2606,0.0046,1.764,77793894.6,20425090.27,82496,0.262554,0.0088,3.3755,247.5889,1.0459,High,Buy
AVAXUSDT,Avalanche,2026-03-15T17:10:06.506751,9.8,9.57,9.87,9.54,9.56,0.23,2.403,943308.6,9144210.11,32414,9.693763,0.33,3.4483,282.1068,1.0959,High,Strong Buy
SHIBUSDT,Shiba Inu,2026-03-15T17:10:06.506751,6e-06,6e-06,6e-06,6e-06,6e-06,-0.0,-0.34,463364854651.0,2719817.56,73467,6e-06,0.0,,37.0209,0.0,Unknown,Sell
DOTUSDT,Polkadot,2026-03-15T17:10:06.506751,1.433,1.437,1.444,1.392,1.438,-0.004,-0.278,5638293.14,8000691.65,34611,1.418992,0.052,3.6186,231.1604,0.9872,High,Sell
BTCUSDT,Bitcoin,2026-03-15T17:15:06.526735,71702.75,70731.0,71940.49,70500.0,70731.01,971.75,1.374,11187.8822,797142132.9,1705580,71250.494131,1440.49,2.0366,467.3731,0.6347,Medium,Buy
ETHUSDT,Ethereum,2026-03-15T17:15:06.526735,2115.93,2075.41,2123.44,2069.19,2075.41,40.52,1.952,126953.9497,265984427.13,1432493,2095.125262,54.25,2.6139,185.6794,0.993,Medium,Buy
BNBUSDT,Binance Coin,2026-03-15T17:15:06.526735,660.37,653.21,666.55,651.85,653.2,7.16,1.096,56443.013,37144342.65,477223,658.085752,14.7,2.2504,77.8344,0.3471,Medium,Buy
SOLUSDT,Solana,2026-03-15T17:15:06.526735,88.33,86.99,88.88,86.62,87.0,1.34,1.54,1338550.058,117526428.8,448841,87.801295,2.26,2.598,261.8442,0.6022,Medium,Buy
XRPUSDT,XRP,2026-03-15T17:15:06.526735,1.4174,1.3919,1.4211,1.3871,1.3918,0.0255,1.832,54657520.3,76773378.31,293752,1.404626,0.034,2.4427,261.3544,0.9094,Medium,Buy
DOGEUSDT,Dogecoin,2026-03-15T17:15:06.526735,0.0961,0.09504,0.09746,0.09436,0.09505,0.00106,1.115,605473419.0,57992008.76,396437,0.09578,0.0031,3.2618,146.283,0.3341,High,Buy
ADAUSDT,Cardano,2026-03-15T17:15:06.526735,0.265,0.2608,0.2673,0.2585,0.2608,0.0042,1.61,77743740.4,20412541.5,82572,0.262562,0.0088,3.3742,247.209,0.9285,High,Buy
AVAXUSDT,Avalanche,2026-03-15T17:15:06.526735,9.82,9.56,9.87,9.54,9.56,0.26,2.72,944180.07,9153096.75,32421,9.694228,0.33,3.4519,282.32,1.2974,High,Strong Buy
